index,BE,CC,ECON,EDU,EMP,HEA,HOU,VIO,AVG
Peru,0.95,0.66,0.18,0.48,0.37,0.89,0.4,0.99,0.62
Petersham,0.93,0.7,0.37,0.5,0.35,0.89,0.49,0.81,0.63
Phillipston,0.95,0.66,0.03,0.52,0.3,0.84,0.51,0.89,0.59
Pittsfield,0.86,0.59,0.53,0.66,0.31,0.44,0.61,0.8,0.6
Plainfield,0.92,0.62,0.29,0.6,0.52,0.9,0.71,0.93,0.69
Plainville,0.93,0.63,0.18,0.65,0.49,0.68,0.45,0.89,0.61
Plymouth,0.91,0.63,0.42,0.61,0.4,0.53,0.56,0.87,0.62
Plympton,0.95,0.63,0.36,0.49,0.47,0.9,0.53,0.89,0.65
Princeton,0.95,0.6,0.48,0.58,0.79,0.87,0.39,0.88,0.69
Provincetown,0.25,0.72,0.62,0.49,0.38,0.51,0.73,0.83,0.57
Quincy,0.68,0.39,0.47,0.61,0.47,0.56,0.75,0.86,0.6
Randolph,0.87,0.22,0.45,0.62,0.32,0.72,0.7,0.84,0.59
Raynham,0.95,0.54,0.26,0.7,0.57,0.55,0.43,0.85,0.61
Reading,0.88,0.59,0.36,0.59,0.76,0.71,0.34,0.89,0.64
Rehoboth,0.93,0.63,0.29,0.63,0.53,0.84,0.42,0.88,0.64
Revere,0.62,0.51,0.48,0.7,0.12,0.63,0.98,0.86,0.61
Richmond,0.92,0.73,0.72,0.44,0.82,0.84,0.35,0.78,0.7
Rochester,0.95,0.63,0.23,0.68,0.59,0.9,0.22,0.88,0.64
Rockland,0.91,0.61,0.23,0.67,0.35,0.79,0.61,0.89,0.63
Rockport,0.86,0.69,0.56,0.46,0.6,0.8,0.61,0.89,0.68
Rowe,0.7,0.66,0.28,0.22,0.46,0.98,0.24,0.94,0.56
Rowley,0.87,0.58,0.6,0.82,0.58,0.68,0.23,0.85,0.65
Royalston,0.93,0.65,0.22,0.66,0.29,0.82,0.27,0.92,0.6
Russell,0.96,0.6,0.16,0.6,0.4,0.85,0.28,0.87,0.59
Rutland,0.98,0.63,0.05,0.67,0.66,0.87,0.22,0.86,0.62
Salem,0.69,0.56,0.53,0.67,0.41,0.58,0.84,0.84,0.64
Salisbury,0.91,0.72,0.24,0.64,0.33,0.74,0.58,0.8,0.62
Sandisfield,0.88,0.65,0.36,0.54,0.43,0.56,0.2,0.88,0.56
Sandwich,0.96,0.63,0.39,0.59,0.52,0.64,0.6,0.87,0.65
Saugus,0.87,0.64,0.33,0.68,0.39,0.71,0.64,0.87,0.64
Savoy,1.0,0.63,0.36,0.59,0.18,0.9,0.68,0.87,0.65
Scituate,0.88,0.66,0.45,0.59,0.71,0.73,0.44,0.96,0.68
Seekonk,0.93,0.71,0.3,0.6,0.49,0.76,0.32,0.81,0.62
Sharon,0.87,0.5,0.48,0.59,0.94,0.76,0.47,0.88,0.69
Sheffield,0.89,0.73,0.57,0.7,0.32,0.88,0.36,1.0,0.68
Shelburne,0.86,0.72,0.93,0.83,0.57,0.58,0.43,0.89,0.73
Sherborn,0.91,0.6,0.53,0.53,0.97,0.85,0.51,0.88,0.72
Shirley,0.94,0.43,0.42,0.61,0.2,0.64,0.69,0.89,0.6
Shrewsbury,0.92,0.43,0.35,0.66,0.74,0.44,0.46,0.89,0.61
Shutesbury,0.95,0.67,0.31,0.39,0.77,0.9,0.69,0.79,0.68
Somerset,0.97,0.7,0.27,0.7,0.41,0.7,0.46,0.86,0.63
Somerville,0.21,0.53,0.4,0.57,0.67,0.69,0.77,0.88,0.59
South Hadley,0.86,0.63,0.37,0.65,0.51,0.72,0.56,0.88,0.65
Southampton,0.99,0.67,0.48,0.59,0.56,0.82,0.41,0.89,0.68
Southborough,0.94,0.54,0.49,0.61,0.8,0.43,0.31,0.88,0.62
Southbridge,0.82,0.55,0.37,0.79,0.14,0.53,0.63,0.8,0.58
Southwick,0.95,0.7,0.4,0.62,0.5,0.8,0.44,0.86,0.66
Spencer,0.88,0.59,0.27,0.72,0.38,0.66,0.51,0.87,0.61
Springfield,0.75,0.36,0.5,0.77,0.2,0.52,0.79,0.78,0.58
Sterling,0.96,0.58,0.33,0.57,0.61,0.66,0.41,0.88,0.62
Stockbridge,0.83,0.74,0.93,0.65,0.45,0.65,0.52,0.84,0.7
Stoneham,0.91,0.67,0.32,0.57,0.62,0.58,0.49,0.88,0.63
Stoughton,0.87,0.49,0.32,0.61,0.39,0.62,0.62,0.86,0.6
Stow,0.95,0.53,0.12,0.53,0.85,0.9,0.34,0.89,0.64
Sturbridge,0.96,0.6,0.46,0.63,0.63,0.72,0.44,0.79,0.65
Sudbury,0.95,0.51,0.53,0.57,0.87,0.62,0.19,0.88,0.64
Sunderland,0.8,0.62,0.78,0.58,0.48,0.8,0.63,0.89,0.7
