index,BE,CC,ECON,EDU,EMP,HEA,HOU,VIO,AVG
Shirley,0.06,0.68,0.47,0.39,0.4,0.08,0.15,0.73,0.37
Shrewsbury,0.06,0.59,0.32,0.66,0.7,0.23,0.17,0.88,0.45
Shutesbury,0.13,0.81,0.2,0.45,0.7,0.01,0.15,0.72,0.4
Somerset,0.06,0.76,0.22,0.29,0.41,0.08,0.1,0.69,0.33
Somerville,0.06,0.34,0.26,0.42,1.0,0.18,0.22,0.74,0.4
South Hadley,0.06,0.77,0.19,0.57,0.53,0.1,0.12,0.7,0.38
Southampton,0.07,0.73,0.23,0.6,0.61,0.2,0.22,0.79,0.43
Southborough,0.05,0.71,0.2,0.63,0.74,0.22,0.27,0.83,0.46
Southbridge,0.06,0.53,0.17,0.12,0.56,0.2,0.09,0.48,0.28
Southwick,0.06,0.79,0.33,0.45,0.58,0.16,0.1,0.78,0.41
Spencer,0.06,0.65,0.24,0.44,0.59,0.13,0.09,0.8,0.38
Springfield,0.06,0.4,0.15,0.0,0.36,0.25,0.06,0.1,0.17
Sterling,0.1,0.7,0.28,0.36,0.58,0.14,0.21,0.77,0.39
Stockbridge,0.07,0.81,0.11,0.48,0.44,0.29,0.16,0.59,0.37
Stoneham,0.06,0.72,0.28,0.47,0.73,0.35,0.22,0.76,0.45
Stoughton,0.06,0.64,0.22,0.44,0.63,0.31,0.16,0.62,0.38
Stow,0.06,0.67,0.93,0.71,0.82,0.06,0.3,0.83,0.55
Sturbridge,0.06,0.7,0.26,0.43,0.65,0.18,0.13,0.62,0.38
Sudbury,0.05,0.68,0.23,0.75,0.65,0.39,0.49,0.85,0.51
Sunderland,0.06,0.65,0.08,0.48,0.94,0.08,0.15,0.75,0.4
Sutton,0.06,0.74,0.19,0.47,0.78,0.05,0.12,0.76,0.4
Swampscott,0.06,0.64,0.27,0.6,0.61,0.41,0.14,0.75,0.44
Swansea,0.06,0.81,0.16,0.47,0.72,0.18,0.12,0.67,0.4
Taunton,0.06,0.66,0.23,0.3,0.6,0.16,0.13,0.71,0.36
Templeton,0.11,0.76,0.11,0.54,0.71,0.02,0.12,0.77,0.39
Tewksbury,0.06,0.73,0.17,0.51,0.72,0.24,0.24,0.67,0.42
Tisbury,0.06,0.65,0.18,0.38,0.72,0.52,0.26,0.56,0.42
Tolland,0.06,0.85,0.14,0.45,0.66,0.0,0.23,0.77,0.39
Topsfield,0.04,0.76,0.31,0.69,0.57,0.27,0.3,0.86,0.48
Townsend,0.06,0.67,0.18,0.49,0.87,0.11,0.21,0.85,0.43
Truro,0.1,0.94,0.36,0.51,0.47,0.16,0.42,0.38,0.42
Tyngsborough,0.06,0.77,0.06,0.51,0.94,0.17,0.24,0.74,0.44
Tyringham,0.1,0.97,0.56,0.58,0.29,0.0,0.42,0.71,0.45
Upton,0.06,0.71,0.36,0.51,0.85,0.09,0.21,0.79,0.45
Uxbridge,0.05,0.7,0.14,0.43,0.79,0.08,0.19,0.75,0.39
Wakefield,0.06,0.67,0.25,0.53,0.78,0.27,0.19,0.76,0.44
Wales,0.08,0.75,0.13,0.4,0.51,0.01,0.06,0.89,0.35
Walpole,0.06,0.72,0.15,0.52,0.7,0.25,0.22,0.69,0.41
Waltham,0.06,0.53,0.22,0.34,0.72,0.24,0.24,0.74,0.39
Ware,0.06,0.75,0.12,0.46,0.53,0.14,0.09,0.55,0.34
Wareham,0.07,0.77,0.19,0.4,0.62,0.22,0.1,0.55,0.37
Warren,0.06,0.71,0.17,0.14,0.56,0.01,0.11,0.62,0.3
Warwick,0.05,0.92,0.53,0.33,0.51,0.01,0.09,0.69,0.39
Washington,0.05,0.81,0.37,0.42,0.57,0.01,0.02,0.8,0.38
Watertown,0.05,0.51,0.28,0.46,0.86,0.27,0.23,0.75,0.43
Wayland,0.06,0.72,0.45,0.78,0.77,0.21,0.33,0.92,0.53
Webster,0.06,0.69,0.19,0.39,0.45,0.13,0.16,0.43,0.31
Wellesley,0.05,0.6,0.11,0.78,0.44,0.57,0.76,0.86,0.52
Wellfleet,0.07,0.95,0.35,0.5,0.21,0.34,0.19,0.75,0.42
Wendell,0.06,0.83,0.07,0.45,0.51,0.0,0.06,0.58,0.32
Wenham,0.05,0.72,0.02,0.6,0.45,0.06,0.42,0.89,0.4
West Boylston,0.06,0.83,0.17,0.55,0.1,0.18,0.16,0.72,0.35
West Bridgewater,0.06,0.74,0.24,0.5,0.57,0.31,0.23,0.7,0.42
West Brookfield,0.1,0.79,0.1,0.48,0.48,0.16,0.1,0.84,0.38
West Newbury,0.07,0.75,0.55,0.56,0.71,0.01,0.66,0.73,0.5
West Springfield,0.06,0.62,0.2,0.44,0.61,0.34,0.1,0.41,0.35
West Stockbridge,0.09,0.84,0.2,0.4,0.86,0.02,0.15,0.84,0.42
West Tisbury,0.04,0.7,0.11,0.59,0.48,0.03,0.53,0.68,0.4
Westborough,0.06,0.61,0.28,0.73,0.78,0.45,0.22,0.77,0.49
Westfield,0.06,0.66,0.19,0.44,0.55,0.15,0.14,0.69,0.36
Westford,0.06,0.7,0.14,0.71,0.83,0.27,0.28,0.87,0.48
Westhampton,0.11,0.77,0.08,0.54,0.94,0.0,0.18,0.92,0.44
Westminster,0.06,0.78,0.15,0.45,0.83,0.07,0.14,0.78,0.41
Weston,0.04,0.67,0.13,0.76,0.44,0.34,0.86,0.87,0.51
